car,time [us],time [s],NIS
1, 3600000, 3.6, 8.4769
1, 3633333, 3.63333, 0.912267
1, 3666666, 3.66667, 0.275519
1, 3700000, 3.7, 9.5465
1, 3733333, 3.73333, 1.21198
1, 3766666, 3.76667, 3.59435
1, 3800000, 3.8, 0.705926
1, 3833333, 3.83333, 1.53358
1, 3866666, 3.86667, 1.70588
1, 3900000, 3.9, 1.09101
1, 3933333, 3.93333, 4.46966
1, 3966666, 3.96667, 2.97912
1, 4000000, 4, 1.04156
1, 4033333, 4.03333, 3.64085
1, 4066666, 4.06667, 2.65707
1, 4100000, 4.1, 2.84879
1, 4133333, 4.13333, 1.01636
1, 4166666, 4.16667, 0.254342
1, 4200000, 4.2, 3.08186
1, 4233333, 4.23333, 2.87645
1, 4266666, 4.26667, 2.81656
1, 4300000, 4.3, 4.63331
1, 4333333, 4.33333, 0.56403
1, 4366666, 4.36667, 0.516703
1, 4400000, 4.4, 6.30359
1, 4433333, 4.43333, 2.26687
1, 4466666, 4.46667, 4.09552
1, 4500000, 4.5, 3.49619
1, 4533333, 4.53333, 2.12516
1, 4566666, 4.56667, 2.91487
1, 4600000, 4.6, 0.204578
1, 4633333, 4.63333, 0.772829
1, 4666666, 4.66667, 1.44344
1, 4700000, 4.7, 5.18421
1, 4733333, 4.73333, 3.37447
1, 4766666, 4.76667, 0.627682
1, 4800000, 4.8, 1.17974
1, 4833333, 4.83333, 0.515056
1, 4866666, 4.86667, 0.888002
1, 4900000, 4.9, 3.73551
1, 4933333, 4.93333, 3.16316
1, 4966666, 4.96667, 2.22652
1, 5000000, 5, 0.881096
1, 5033333, 5.03333, 2.26757
1, 5066666, 5.06667, 2.95174
1, 5100000, 5.1, 9.05362
1, 5133333, 5.13333, 1.9555
1, 5166666, 5.16667, 1.55479
1, 5200000, 5.2, 8.14714
1, 5233333, 5.23333, 3.49491
1, 5266666, 5.26667, 6.0045
1, 5300000, 5.3, 2.23711
1, 5333333, 5.33333, 3.63732
1, 5366666, 5.36667, 1.81535
1, 5400000, 5.4, 1.89816
1, 5433333, 5.43333, 3.21524
1, 5466666, 5.46667, 1.51456
1, 5500000, 5.5, 1.89072
1, 5533333, 5.53333, 0.720458
1, 5566666, 5.56667, 1.05709
1, 5600000, 5.6, 1.30296
1, 5633333, 5.63333, 1.5219
1, 5666666, 5.66667, 2.36851
1, 5700000, 5.7, 8.99091
1, 5733333, 5.73333, 2.27156
1, 5766666, 5.76667, 1.01567
1, 5800000, 5.8, 2.12701
1, 5833333, 5.83333, 2.43479
1, 5866666, 5.86667, 3.28406
1, 5900000, 5.9, 1.14607
1, 5933333, 5.93333, 1.4999
1, 5966666, 5.96667, 2.61162
1, 6000000, 6, 1.87194
1, 6033333, 6.03333, 1.07578
